activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,37074,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL131122,,CHEMBL131122,7.54,0,http://www.openphacts.org/units/Nanomolar,251314,=,1,1,=,,EC50,nM,,29.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,29.0
,37075,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL131122,,CHEMBL131122,7.82,0,http://www.openphacts.org/units/Nanomolar,251314,=,1,1,=,,EC50,nM,,15.1,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,15.1
,39480,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130317,,CHEMBL130317,7.43,0,http://www.openphacts.org/units/Nanomolar,251320,=,1,1,=,,EC50,nM,,37.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,37.0
,39481,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130317,,CHEMBL130317,8.13,0,http://www.openphacts.org/units/Nanomolar,251320,=,1,1,=,,EC50,nM,,7.4,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,7.4
,41881,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130232,,CHEMBL130232,7.44,0,http://www.openphacts.org/units/Nanomolar,251311,=,1,1,=,,EC50,nM,,36.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,36.0
,41882,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130232,,CHEMBL130232,9.10,0,http://www.openphacts.org/units/Nanomolar,251311,=,1,1,=,,EC50,nM,,0.8,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,0.8
,44279,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL133915,,CHEMBL133915,7.50,0,http://www.openphacts.org/units/Nanomolar,251319,=,1,1,=,,EC50,nM,,32.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,32.0
,44280,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL133915,,CHEMBL133915,8.89,0,http://www.openphacts.org/units/Nanomolar,251319,=,1,1,=,,EC50,nM,,1.3,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,1.3
,47917,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL422088,,CHEMBL422088,7.34,0,http://www.openphacts.org/units/Nanomolar,251322,=,1,1,=,,EC50,nM,,46.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,46.0
,47918,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL422088,,CHEMBL422088,9.40,0,http://www.openphacts.org/units/Nanomolar,251322,=,1,1,=,,EC50,nM,,0.4,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,0.4
,49303,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL133896,,CHEMBL133896,7.00,0,http://www.openphacts.org/units/Nanomolar,251318,=,1,1,=,,EC50,nM,,99.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,99.0
,49304,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL133896,,CHEMBL133896,9.15,0,http://www.openphacts.org/units/Nanomolar,251318,=,1,1,=,,EC50,nM,,0.7,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,0.7
,51794,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL75133,IRX-4204,CHEMBL75133,7.27,0,http://www.openphacts.org/units/Nanomolar,251313,=,1,1,=,,EC50,nM,,54.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,54.0
,51795,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL75133,IRX-4204,CHEMBL75133,8.07,0,http://www.openphacts.org/units/Nanomolar,251313,=,1,1,=,,EC50,nM,,8.6,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,8.6
,53205,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL424269,,CHEMBL424269,7.15,0,http://www.openphacts.org/units/Nanomolar,251316,=,1,1,=,,EC50,nM,,71.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,71.0
,53206,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL424269,,CHEMBL424269,8.13,0,http://www.openphacts.org/units/Nanomolar,251316,=,1,1,=,,EC50,nM,,7.4,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,7.4
,54382,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL132568,,CHEMBL132568,7.23,0,http://www.openphacts.org/units/Nanomolar,251317,=,1,1,=,,EC50,nM,,59.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,59.0
,54383,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL132568,,CHEMBL132568,8.57,0,http://www.openphacts.org/units/Nanomolar,251317,=,1,1,=,,EC50,nM,,2.7,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,2.7
,58087,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL288436,,CHEMBL288436,6.79,0,http://www.openphacts.org/units/Nanomolar,251309,=,1,1,=,,EC50,nM,,161.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,161.0
,58088,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL288436,,CHEMBL288436,7.73,0,http://www.openphacts.org/units/Nanomolar,251309,=,1,1,=,,EC50,nM,,18.6,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,18.6
,58100,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130374,,CHEMBL130374,7.82,0,http://www.openphacts.org/units/Nanomolar,251321,=,1,1,=,,EC50,nM,,15.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,15.0
,58101,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130374,,CHEMBL130374,8.33,0,http://www.openphacts.org/units/Nanomolar,251321,=,1,1,=,,EC50,nM,,4.7,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,4.7
,62038,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL424639,,CHEMBL424639,7.11,0,http://www.openphacts.org/units/Nanomolar,251315,=,1,1,=,,EC50,nM,,78.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,78.0
,62039,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL424639,,CHEMBL424639,7.79,0,http://www.openphacts.org/units/Nanomolar,251315,=,1,1,=,,EC50,nM,,16.3,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,16.3
,146167,[],CHEMBL760854,Agonist activity against human peroxisome proliferator activated receptor gamma in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCCc2noc(-c3ccccc3C(F)(F)F)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL433316,,CHEMBL433316,6.22,0,http://www.openphacts.org/units/Nanomolar,140073,=,1,1,=,,EC50,nM,,600.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,600.0
,146245,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCc2noc(-c3ccccc3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL311429,,CHEMBL311429,7.10,1,http://www.openphacts.org/units/Nanomolar,140077,=,1,1,=,,EC50,nM,,79.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,79.0
,148681,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCc2noc(-c3ccc(OC(F)(F)F)cc3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL80905,,CHEMBL80905,7.20,1,http://www.openphacts.org/units/Nanomolar,140092,=,1,1,=,,EC50,nM,,63.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,63.0
,152205,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,Cc1cccc(-c2nc(COc3ccc(CC(OC(C)C)C(=O)O)cc3)no2)c1,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL80301,,CHEMBL80301,7.30,1,http://www.openphacts.org/units/Nanomolar,140082,=,1,1,=,,EC50,nM,,50.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,50.0
,154686,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCc2noc(-c3ccc(F)cc3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL78523,,CHEMBL78523,6.70,1,http://www.openphacts.org/units/Nanomolar,140083,=,1,1,=,,EC50,nM,,200.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,200.0
,159589,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCc2noc(-c3cc(F)cc(F)c3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL309778,,CHEMBL309778,7.00,1,http://www.openphacts.org/units/Nanomolar,140089,=,1,1,=,,EC50,nM,,100.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,100.0
,163460,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCCc2noc(-c3ccccc3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL77040,,CHEMBL77040,7.89,1,http://www.openphacts.org/units/Nanomolar,140086,=,1,1,=,,EC50,nM,,13.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,13.0
,164394,[],CHEMBL760855,Agonist activity against human peroxisome proliferator activated receptor gamma was determined,F,,,BAO_0000188,BAO_0000019,assay format,CC(C)OC(Cc1ccc(OCCc2noc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL80979,,CHEMBL80979,8.40,1,http://www.openphacts.org/units/Nanomolar,140076,=,1,1,=,,EC50,nM,,4.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,4.0
,165554,[],CHEMBL760854,Agonist activity against human peroxisome proliferator activated receptor gamma in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCc2noc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL307728,,CHEMBL307728,7.50,1,http://www.openphacts.org/units/Nanomolar,140075,=,1,1,=,,EC50,nM,,32.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,32.0
,165628,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)OC(Cc1ccc(OCCc2noc(-c3cccc(Cl)c3)n2)cc1)C(=O)O,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL78442,,CHEMBL78442,8.40,1,http://www.openphacts.org/units/Nanomolar,140095,=,1,1,=,,EC50,nM,,4.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,4.0
,167009,[],CHEMBL760853,Agonist activity against human Peroxisome proliferator activated receptor gamma receptor in CV-1 cell was determined,F,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-c2nc(COc3ccc(CC(OC(C)C)C(=O)O)cc3)no2)cc1,,,CHEMBL1133944,Bioorg. Med. Chem. Lett.,2001,,CHEMBL310426,,CHEMBL310426,7.80,1,http://www.openphacts.org/units/Nanomolar,140081,=,1,1,=,,EC50,nM,,16.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,16.0
